Comparison	Tracts	Bases	n
GCT_ST_PP_10	    74	  823970	 18
GCT_ST_PP_11	   178	 1495096	 18
GCT_ST_PP_12	     4	  394367	 18
GCT_ST_PP_13	     2	  182266	 18
GCT_ST_PP_14	   134	 2059712	 18
GCT_TL_PP_01	    62	 1768582	 19
GCT_TL_PP_02	    48	  736384	 19
GCT_TL_PP_03	   247	 4313636	 19
GCT_TL_PP_04	   207	 1208621	 19
GCT_TL_PP_05	   180	  876941	 19
GCT_TL_PP_06	    23	  259516	 19
GCT_TL_PP_07	   130	 1462494	 19
GCT_TL_PP_08	   832	 3314151	 19
GCT_TL_PP_09	   262	  892056	 19
GCT_TL_PP_10	    44	  823970	 19
GCT_TL_PP_11	   161	 1495096	 19
GCT_TL_PP_12	    33	  394367	 19
GCT_TL_PP_13	    14	  182266	 19
GCT_TL_PP_14	   163	 2059712	 19
GCT_AR_ST_01	    62	 1768582	 23
GCT_AR_ST_02	    39	  736384	 23
GCT_AR_ST_03	   545	 4313636	 23
GCT_AR_ST_04	   310	 1208621	 23
GCT_AR_ST_05	   169	  876941	 23
GCT_AR_ST_06	    46	  259516	 23
GCT_AR_ST_07	   261	 1462494	 23
GCT_AR_ST_08	   922	 3314151	 23
GCT_AR_ST_09	   206	  892056	 23
GCT_AR_ST_10	   275	  823970	 23
GCT_AR_ST_11	   224	 1495096	 23
GCT_AR_ST_12	    34	  394367	 23
GCT_AR_ST_13	    27	  182266	 23
GCT_AR_ST_14	   195	 2059712	 23
GCT_CH_ST_01	    43	 1768582	 17
GCT_CH_ST_02	    39	  736384	 17
GCT_CH_ST_03	   797	 4313636	 17
GCT_CH_ST_04	   284	 1208621	 17
GCT_CH_ST_05	   143	  876941	 17
GCT_CH_ST_06	    59	  259516	 17
GCT_CH_ST_07	   254	 1462494	 17
GCT_CH_ST_08	   828	 3314151	 17
GCT_CH_ST_09	   222	  892056	 17
GCT_CH_ST_10	   336	  823970	 17
GCT_CH_ST_11	   345	 1495096	 17
GCT_CH_ST_12	   100	  394367	 17
GCT_CH_ST_13	    29	  182266	 17
GCT_CH_ST_14	   307	 2059712	 17
GCT_CU_ST_01	    43	 1768582	 11
GCT_CU_ST_02	    72	  736384	 11
GCT_CU_ST_03	   590	 4313636	 11
GCT_CU_ST_04	   219	 1208621	 11
GCT_CU_ST_05	   147	  876941	 11
GCT_CU_ST_06	    31	  259516	 11
GCT_CU_ST_07	   136	 1462494	 11
GCT_CU_ST_08	   680	 3314151	 11
GCT_CU_ST_09	   164	  892056	 11
GCT_CU_ST_10	   209	  823970	 11
GCT_CU_ST_11	   204	 1495096	 11
GCT_CU_ST_12	    59	  394367	 11
GCT_CU_ST_13	    16	  182266	 11
GCT_CU_ST_14	   439	 2059712	 11
GCT_PP_ST_01	    86	 1768582	 18
GCT_PP_ST_02	    96	  736384	 18
GCT_PP_ST_03	   828	 4313636	 18
GCT_PP_ST_04	   207	 1208621	 18
GCT_PP_ST_05	   114	  876941	 18
GCT_PP_ST_06	    27	  259516	 18
GCT_PP_ST_07	   148	 1462494	 18
GCT_PP_ST_08	   663	 3314151	 18
GCT_PP_ST_09	   105	  892056	 18
GCT_PP_ST_10	   175	  823970	 18
GCT_PP_ST_11	   174	 1495096	 18
GCT_PP_ST_12	    28	  394367	 18
GCT_PP_ST_13	    25	  182266	 18
