Donor_Arr	Recipient_Arr	Region	Length	Psi	exclude
CH	AR	2	1218	0.00031	N
CH	AR	2	12858	0.00031	N
CH	AR	2	57	0.00031	N
CH	AR	2	2145	0.00031	N
CH	AR	2	2769	0.00031	N
CH	AR	2	314	0.00031	N
CH	AR	2	1973	0.00031	N
CH	AR	2	383	0.00031	N
CH	AR	2	3318	0.00031	N
CH	AR	2	9561	0.00031	N
CH	AR	2	2543	0.00031	N
CH	AR	2	2465	0.00031	N
CH	AR	2	1059	0.00031	N
CH	AR	2	4519	0.00031	N
CH	AR	2	14458	0.00031	N
CH	AR	2	1534	0.00031	N
CH	AR	2	9280	0.00031	N
CH	AR	2	1512	0.00031	N
CH	AR	2	7086	0.00031	N
CH	AR	2	8724	0.00031	N
CH	AR	2	1822	0.00031	N
CH	AR	2	279	0.00031	N
CH	AR	2	314	0.00031	N
CH	AR	2	4612	0.00031	N
CH	AR	2	532	0.00031	N
CH	AR	2	5759	0.00031	N
CH	AR	2	410	0.00031	N
CH	AR	2	1988	0.00031	N
CH	AR	2	4626	0.00031	N
CH	AR	2	9164	0.00049	N
CH	AR	2	22	0.00049	N
CH	AR	2	4173	0.00049	N
CH	AR	2	30	0.00049	N
CH	AR	2	97	0.00049	N
CH	AR	2	1895	0.00049	N
CH	AR	2	2852	0.00049	N
CH	AR	2	7	0.00049	N
CH	AR	2	16984	0.00049	N
CH	AR	2	3440	0.00049	N
CH	AR	2	3835	0.00049	N
CH	AR	2	5022	0.00049	N
CH	AR	2	26852	0.00049	N
CH	AR	2	15983	0.00049	N
CH	AR	2	3501	0.00049	N
CH	AR	2	2590	0.00049	N
CH	AR	2	652	0.00049	N
CH	AR	2	17388	0.00049	N
CH	AR	2	6615	0.00049	N
CH	AR	2	8	0.00049	N
CH	AR	2	974	0.00049	N
CH	AR	2	2601	0.00049	N
CH	AR	2	3	0.00049	N
CH	AR	2	7515	0.00049	N
CH	AR	2	8	0.00049	N
CH	AR	2	4071	0.00049	N
CH	AR	2	1626	0.00049	N
CH	AR	2	85	0.00049	N
CH	AR	2	686	0.00049	N
CH	AR	2	2648	0.00049	N
CH	AR	2	4450	0.00049	N
CH	AR	2	8287	0.00049	N
CH	AR	2	3957	0.00049	N
CH	AR	2	600	0.00049	N
CH	AR	2	2899	0.00049	N
CH	AR	2	9982	0.00049	N
CH	AR	2	224	0.00049	N
CH	AR	2	280	0.00049	N
CH	AR	2	834	0.00049	N
CH	AR	2	4873	0.00049	N
CH	AR	2	2405	0.00049	N
CH	AR	2	20	0.00049	N
CH	AR	2	12676	0.00049	N
CH	AR	2	6727	0.00049	N
CH	AR	2	17617	0.00049	N
CH	AR	2	25805	0.00049	N
CH	AR	2	2327	0.00049	N
CH	AR	2	2945	0.00049	N
CH	AR	2	6	0.00049	N
CH	AR	2	63	0.00049	N
CH	AR	2	8669	0.00049	N
CH	AR	2	5481	0.00049	N
CH	AR	2	19917	0.00049	N
CH	AR	2	1199	0.00049	N
CH	AR	2	1340	0.00049	N
CH	AR	2	1192	0.00049	N
CH	AR	2	1333	0.00049	N
CH	AR	2	10675	0.00049	N
CH	AR	2	496	0.00049	N
CH	AR	2	2983	0.00049	N
CH	AR	2	1173	0.00049	N
CH	AR	2	2	0.00049	N
CH	AR	2	8513	0.00049	N
CH	AR	2	6673	0.00049	N
CH	AR	2	24641	0.00049	N
CH	AR	2	4748	0.00049	N
CH	AR	2	3909	0.00049	N
CH	AR	2	15803	0.00049	N
CH	AR	2	1017	0.00049	N
CH	AR	2	9295	0.00049	N
CH	AR	2	3455	0.00049	N
CH	AR	2	3261	0.00049	N
CH	AR	2	1965	0.00049	N
CH	AR	2	5756	0.00049	N
CH	AR	2	17587	0.00049	N
CH	AR	2	13787	0.00049	N
CH	AR	2	45	0.00049	N
CH	AR	2	38	0.00049	N
CH	AR	2	79	0.00049	N
CH	AR	2	9625	0.00049	N
CH	AR	2	3	0.00049	N
