Don Rec Reg      Phi    Obs(N) LowLim(N) Expect(N)  UpLim(N)  Prob(UE)  Obs#(CT)  Exp#(CT)  Prob(TS)
 AR  CH  12 0.999266    450.80   1240.64   1362.45   1510.78     0.152       100    117.94     0.017
 AR  CH  13 0.996784    209.54    303.21    310.94    319.08     0.425        54     93.89     0.007
 AR  CH  14 0.999963   8750.31  23797.47  27016.45  31242.49     0.010       208    210.05     0.115
 CU  CH  1  0.999800   4089.42   4951.95   5000.66   5050.34     0.802       269   1361.64     0.214
 CU  CH  2  0.999711    592.46   3009.91   3459.93   4068.19     0.587       155    375.16     0.098
 CU  CH  3  0.999752    522.73   3768.47   4032.02   4335.20     0.288      1888   2651.11     0.138
 CU  CH  4  0.997129    188.28    343.48    348.31    353.29     0.594       371    914.66     0.015
 CU  CH  5  0.997800    239.28    449.92    454.54    459.26     0.621       526   1388.27     0.040
 CU  CH  6  0.998042    315.74    482.16    510.72    542.88     0.493        47     92.75     0.010
 CU  CH  7  0.999866    685.80   6887.20   7463.17   8144.28     0.084       528    576.65     0.163
 CU  CH  8  0.999883    445.59   8073.73   8546.72   9078.58     0.124      1212   1383.39     0.198
 CU  CH  9  0.997062    164.53    322.88    340.37    359.86     0.561       259    589.34     0.012
 CU  CH  10 0.999129    372.70   1088.86   1148.10   1214.16     0.304       277    398.19     0.031
 CU  CH  11 0.997755    210.47    436.52    445.43    454.72     0.551       358    797.83     0.013
 CU  CH  12 0.998152    316.43    514.18    541.13    571.06     0.526        72    151.89     0.012
 CU  CH  13 0.998785    420.05    779.97    823.06    871.18     0.639        83    229.74     0.058
 CU  CH  14 0.999601   1175.34   2267.19   2506.31   2801.81     0.213       489    620.98     0.042
 PP  CH  1  0.999868   8462.38   6041.49   7574.36  10149.56     0.902        65    665.80     0.150
 PP  CH  2  0.999644    790.35   2397.09   2808.84   3391.39     0.688        85    272.69     0.055
 PP  CH  3  0.999175    243.72   1190.63   1212.14   1234.44     0.155       897   1061.54     0.016
 PP  CH  4  0.997396    199.75    378.69    384.02    389.51     0.251       318    424.72     0.007
 PP  CH  5  0.997467    256.38    389.45    394.79    400.27     0.348       681   1043.73     0.025
 PP  CH  6  0.997451    297.86    357.63    392.31    434.44     0.257        14     18.84     0.001
 PP  CH  7  0.996096    168.44    250.36    256.15    262.21     0.348       194    297.56     0.003
 PP  CH  8  0.998196    219.67    541.78    554.33    567.47     0.296       587    834.06     0.007
 PP  CH  9  0.997993    377.29    490.20    498.25    506.57     0.265       165    224.59     0.007
 PP  CH  10 0.995918    157.11    241.54    244.98    248.51     0.421        97    167.62     0.003
 PP  CH  11 0.997498    280.19    391.85    399.68    407.82     0.337       149    224.82     0.003
 PP  CH  12 0.998931    739.43    856.85    935.45   1029.91     0.218        21     26.86     0.003
 PP  CH  13 0.998571    525.85    513.39    699.78   1098.63     0.246        13     17.25     0.003
 PP  CH  14 0.999929   6917.60  12113.51  14086.66  16827.70     0.020       152    155.13     0.056
 ST  CH  1  0.999864  12071.10   5888.81   7351.98   9782.63     0.885        51    441.78     0.108
 ST  CH  2  0.999834   5261.07   4291.95   6024.13  10100.67     0.841        44    277.01     0.133
 ST  CH  3  0.999859   4266.52   6641.81   7090.96   7605.27     0.603       724   1824.76     0.176
 ST  CH  4  0.999875   1447.48   6660.27   8000.58  10016.25     0.015       109    110.71     0.043
 ST  CH  5  0.999913   9686.74   4925.78  11491.24 -34521.02     0.015       101    102.58     0.079
 ST  CH  6  0.997675    342.38    404.08    430.11    459.73     0.233        21     27.37     0.003
 ST  CH  7  0.997597    305.35    406.78    416.14    425.95     0.256       192    257.90     0.004
 ST  CH  8  0.999948   1554.88  17623.13  19239.93  21183.35     0.012       448    453.36     0.155
 ST  CH  9  0.999902   3365.50   8715.44  10205.12  12309.04     0.015       117    118.84     0.080
 ST  CH  10 0.997245    264.80    342.46    362.98    386.12     0.332        61     91.25     0.002
 ST  CH  11 0.997712    310.83    426.67    437.07    447.98     0.344       133    202.78     0.003
 ST  CH  12 0.998981    808.60    877.47    981.35   1113.14     0.201        15     18.76     0.003
 ST  CH  13 0.997322    241.71    282.77    373.42    549.59     0.384         7     11.37     0.001
 ST  CH  14 0.999963   5479.38  23497.50  27016.45  31775.03     0.009       172    173.59     0.134
 TL  CH  1  0.999901  14702.05   7832.50  10100.67  14217.98     0.828        85    495.47     0.157
 TL  CH  2  0.999800   6309.91   3777.80   5000.66   7394.10     0.802        78    394.83     0.149
 TL  CH  3  0.999870   4523.79   7049.25   7692.44   8464.79     0.392       932   1533.10     0.152
 TL  CH  4  0.998190    255.70    536.10    552.48    569.90     0.208       312    393.78     0.010
 TL  CH  5  0.998365    234.71    592.44    611.62    632.08     0.273       635    873.01     0.034
 TL  CH  6  0.998286    426.84    527.42    583.43    652.76     0.284        25     34.91     0.004
 TL  CH  7  0.999916   1030.43  10747.74  11907.18  13347.03     0.026       323    331.75     0.150
 TL  CH  8  0.998701    229.30    753.76    769.81    786.55     0.212       779    988.40     0.013
 TL  CH  9  0.998041    390.53    466.76    510.46    563.18     0.271       169    231.75     0.007
 TL  CH  10 0.999472    887.12   1522.43   1894.02   2505.56     0.140       120    139.53     0.018
 TL  CH  11 0.998185    354.23    533.90    550.96    569.14     0.372       175    278.88     0.006
 TL  CH  12 0.997253    245.08    353.48    364.03    375.24     0.388        50     81.76     0.004
 TL  CH  13 0.999594   1908.86   1892.74   2462.89   3524.63     0.231        56     72.82     0.055
 TL  CH  14 0.999803   2872.70   4252.78   5076.31   6295.39     0.090       202    221.94     0.030
 AR  PP  1  0.999905  11315.05   8172.05  10525.23  14781.69     0.791        87    416.36     0.099
 AR  PP  2  0.999802   6371.48   3451.39   5050.34   9409.54     0.531        77    164.23     0.045
