Region  1
          AR      CH      CU      PP      ST      TL
P<    1.0000  0.0000  0.0000  0.0011  0.7005  0.1896
P>    0.0000  1.0000  1.0000  0.9989  0.2995  0.8104

CU       345     528       0     137     136     319
Min      455     302       0     178     179     242
Max      623     447       0     287     297     360
P<    0.0000  1.0000  0.0000  0.0000  0.0000  0.8747
P>    1.0000  0.0000  1.0000  1.0000  1.0000  0.1253

PP       391     194       0       0     148     203
Min      307     209       0       0     121     162
Max      448     334       0       0     211     272
P<    0.6992  0.0000  0.0000  0.0000  0.0725  0.2936
P>    0.3008  1.0000  1.0000  1.0000  0.9275  0.7064

ST       340     192       0      82       0     124
Min      196     132       0      73       0     102
Max      327     236       0     158       0     192
P<    1.0000  0.7346  0.0000  0.0020  0.0000  0.0324
P>    0.0000  0.2654  1.0000  0.9980  1.0000  0.9676

TL       276     323       0     130      89       0
Min      278     167       0     108     108       0
Max      408     292       0     188     199       0
P<    0.0000  1.0000  0.0000  0.0777  0.0000  0.0000
P>    1.0000  0.0000  1.0000  0.9223  1.0000  1.0000


Region  8
          AR      CH      CU      PP      ST      TL
AR         0    1169       0     885     922     984
Min        0    1038       0     624     638     812
Max        0    1292       0     823     826    1030
P<    0.0000  0.5627  0.0000  1.0000  1.0000  0.9854
P>    1.0000  0.4373  1.0000  0.0000  0.0000  0.0146

CH      2316       0       0     762     828     668
Min     1583       0       0     647     655     838
Max     1873       0       0     850     852    1060
P<    1.0000  0.0000  0.0000  0.7737  0.9983  0.0000
P>    0.0000  1.0000  1.0000  0.2263  0.0017  1.0000

CU      1286    1212       0     569     680     538
Min     1516    1039       0     619     636     813
Max     1798    1270       0     816     819    1041
P<    0.0000  0.9652  0.0000  0.0000  0.0452  0.0000
P>    1.0000  0.0348  1.0000  1.0000  0.9548  1.0000

PP      1143     587       0       0     663     731
Min     1034     704       0       0     433     558
Max     1275     916       0       0     584     740
P<    0.3043  0.0000  0.0000  0.0000  1.0000  0.9997
P>    0.6957  1.0000  1.0000  1.0000  0.0000  0.0003

ST       862     448       0     299       0     293
Min      704     483       0     278       0     377
Max      916     639       0     430       0     523
P<    0.9936  0.0000  0.0000  0.0036  0.0000  0.0000
P>    0.0064  1.0000  1.0000  0.9964  1.0000  1.0000

TL       809     779       0     832     506       0
Min      928     630       0     363     358       0
Max     1157     810       0     533     533       0
P<    0.0000  0.9860  0.0000  1.0000  0.9941  0.0000
P>    1.0000  0.0140  1.0000  0.0000  0.0059  1.0000


Region  9
          AR      CH      CU      PP      ST      TL
AR         0     294       0     222     206     269
Min        0     218       0     117     125     170
Max        0     335       0     218     225     270
P<    0.0000  0.9275  0.0000  1.0000  0.9938  0.9998
P>    1.0000  0.0725  1.0000  0.0000  0.0062  0.0002

CH       385       0       0     182     222     190
Min      327       0       0     128     135     176
Max      466       0       0     227     229     287
P<    0.2205  0.0000  0.0000  0.6940  0.9991  0.0058
P>    0.7795  1.0000  1.0000  0.3060  0.0009  0.9942

CU       271     259       0     211     164     219
Min      315     215       0     112     124     162
Max      465     333       0     217     222     272
P<    0.0000  0.2623  0.0000  0.9994  0.2447  0.5413
P>    1.0000  0.7377  1.0000  0.0006  0.7553  0.4587

PP       171     165       0       0     105     251
Min      211     137       0       0      84     106
Max      334     242       0       0     164     202
P<    0.0000  0.0300  0.0000  0.0000  0.0555  1.0000
P>    1.0000  0.9700  1.0000  1.0000  0.9445  0.0000

ST       166     117       0      82       0      78
Min      136      90       0      48       0      71
Max      242     177       0     117       0     146
P<    0.0574  0.1041  0.0000  0.4933  0.0000  0.0016
P>    0.9426  0.8959  1.0000  0.5067  1.0000  0.9984

TL       144     169       0     262      79       0
Min      192     123       0      72      74       0
Max      300     223       0     147     147       0
P<    0.0000  0.4899  0.0000  1.0000  0.0008  0.0000
P>    1.0000  0.5101  1.0000  0.0000  0.9992  1.0000


Region 10
          AR      CH      CU      PP      ST      TL
AR         0     197       0     205     275     164
Min        0     187       0     109     106     145
Max        0     300       0     200     201     246
P<    0.0000  0.0007  0.0000  1.0000  1.0000  0.0073
P>    1.0000  0.9993  1.0000  0.0000  0.0000  0.9927

CH       337       0       0     139     336     193
Min      295       0       0     113     113     150
Max      420       0       0     204     207     252
P<    0.1041  0.0000  0.0000  0.0582  1.0000  0.2203
P>    0.8959  1.0000  1.0000  0.9418  0.0000  0.7797

CU       160     277       0     121     209     337
Min      283     188       0     110     103     149
Max      414     300       0     201     211     251
P<    0.0000  0.9868  0.0000  0.0053  0.9999  1.0000
P>    1.0000  0.0132  1.0000  0.9947  0.0001  0.0000

PP       301      97       0       0     175      96
Min      188     125       0       0      75      94
Max      297     236       0       0     150     179
P<    1.0000  0.0000  0.0000  0.0000  1.0000  0.0001
P>    0.0000  1.0000  1.0000  1.0000  0.0000  0.9999

ST       291      61       0      74       0      39
Min      124      79       0      46       0      59
Max      212     159       0     103       0     138
P<    1.0000  0.0000  0.0000  0.5000  0.0000  0.0000
P>    0.0000  1.0000  1.0000  0.5000  1.0000  1.0000

TL        59     120       0      44      89       0
Min      158     108       0      63      62       0
Max      279     198       0     135     133       0
P<    0.0000  0.0022  0.0000  0.0000  0.1771  0.0000
P>    1.0000  0.9978  1.0000  1.0000  0.8229  1.0000


Region 11
          AR      CH      CU      PP      ST      TL
AR         0     390       0     296     224     399
Min        0     367       0     210     214     283
Max        0     508       0     338     331     414
P<    0.0000  0.0106  0.0000  0.9457  0.0010  0.9973
P>    1.0000  0.9894  1.0000  0.0543  0.9990  0.0027

CH       768       0       0     348     345     290
Min      554       0       0     225     214     289
Max      729       0       0     340     344     427
P<    1.0000  0.0000  0.0000  1.0000  1.0000  0.0001
P>    0.0000  1.0000  1.0000  0.0000  0.0000  0.9999

CU       530     358       0     323     204     574
Min      520     352       0     199     211     278
Max      720     512       0     325     341     422
P<    0.0002  0.0001  0.0000  0.9998  0.0000  1.0000
P>    0.9998  0.9999  1.0000  0.0002  1.0000  0.0000

PP       477     149       0       0     174     161
Min      367     236       0       0     145     192
Max      519     377       0       0     247     304
P<    0.9859  0.0000  0.0000  0.0000  0.0793  0.0000
P>    0.0141  1.0000  1.0000  1.0000  0.9207  1.0000

ST       518     133       0     178       0     109
Min      234     158       0      89       0     109
Max      375     263       0     173       0     215
P<    1.0000  0.0000  0.0000  1.0000  0.0000  0.0000
P>    0.0000  1.0000  1.0000  0.0000  1.0000  1.0000

TL       339     175       0     161     169       0
Min      313     217       0     118     124       0
Max      460     333       0     223     222       0
P<    0.0040  0.0000  0.0000  0.2641  0.4109  0.0000
P>    0.9960  1.0000  1.0000  0.7359  0.5891  1.0000


Region 12
          AR      CH      CU      PP      ST      TL
AR         0     100       0      25      34     106
Min        0      50       0      29      30      40
Max        0     126       0      87      88     105
P<    0.0000  0.8968  0.0000  0.0000  0.0005  1.0000
P>    1.0000  0.1032  1.0000  1.0000  0.9995  0.0000

CH       170       0       0      79     100      71
Min       89       0       0      29      29      43
Max      173       0       0      87      92     104
P<    0.9996  0.0000  0.0000  0.9981  1.0000  0.4125
P>    0.0004  1.0000  1.0000  0.0019  0.0000  0.5875

CU       144      72       0      63      59      75
Min       86      57       0      29      30      40
Max      168     121       0      79      84     102
P<    0.9630  0.0368  0.0000  0.8745  0.6813  0.7205
P>    0.0370  0.9632  1.0000  0.1255  0.3187  0.2795

PP        44      21       0       0      28      16
Min       58      33       0       0      16      25
Max      121      96       0       0      64      80
P<    0.0000  0.0000  0.0000  0.0000  0.0268  0.0000
P>    1.0000  1.0000  1.0000  1.0000  0.9732  1.0000

ST       101      15       0       4       0      15
Min       33      19       0       9       0      15
Max       92      66       0      55       0      58
P<    1.0000  0.0000  0.0000  0.0000  0.0000  0.0000
P>    0.0000  1.0000  1.0000  1.0000  1.0000  1.0000

TL        97      50       0      33      54       0
Min       47      31       0      16      11       0
Max      111      90       0      58      60       0
P<    0.9804  0.2393  0.0000  0.4051  0.9991  0.0000
P>    0.0196  0.7607  1.0000  0.5949  0.0009  1.0000


Region 13
          AR      CH      CU      PP      ST      TL
AR         0      54       0      20      27      56
Min        0      23       0      13      13      18
Max        0      73       0      54      53      64
P<    0.0000  0.8168  0.0000  0.0205  0.2293  0.9977
P>    1.0000  0.1832  1.0000  0.9795  0.7707  0.0023

CH        77       0       0      42      29      68
Min       41       0       0      11      14      17
Max      102       0       0      55      54      67
P<    0.7782  0.0000  0.0000  0.9683  0.2949  1.0000
P>    0.2218  1.0000  1.0000  0.0317  0.7051  0.0000

CU        40      83       0      12      16      77
Min       40      25       0      11      13      18
Max       99      71       0      54      53      62
P<    0.0000  1.0000  0.0000  0.0002  0.0011  1.0000
P>    1.0000  0.0000  1.0000  0.9998  0.9989  0.0000

PP        26      13       0       0      25      10
Min       24      14       0       0       7      10
Max       75      55       0       0      42      49
P<    0.0001  0.0000  0.0000  0.0000  0.7533  0.0000
P>    0.9999  1.0000  1.0000  1.0000  0.2467  1.0000

ST        60       7       0       2       0       6
Min       13       8       0       3       0       4
Max       56      41       0      34       0      37
P<    1.0000  0.0000  0.0000  0.0000  0.0000  0.0002
P>    0.0000  1.0000  1.0000  1.0000  1.0000  0.9998

TL        29      56       0      14      12       0
Min       21      12       0       3       6       0
Max       72      50       0      36      36       0
P<    0.0091  1.0000  0.0000  0.1080  0.0277  0.0000
P>    0.9909  0.0000  1.0000  0.8920  0.9723  1.0000


Region 14
          AR      CH      CU      PP      ST      TL
AR         0     208       0     172     195     334
Min        0     385       0     228     228     306
Max        0     535       0     353     362     442
P<    0.0000  0.0000  0.0000  0.0000  0.0000  0.0349
P>    1.0000  1.0000  1.0000  1.0000  1.0000  0.9651

CH       766       0       0     364     307     354
Min      582       0       0     235     237     312
Max      777       0       0     361     362     450
P<    0.9998  0.0000  0.0000  1.0000  0.6580  0.0824
P>    0.0002  1.0000  1.0000  0.0000  0.3420  0.9176

CU       782     489       0     420     439     565
Min      559     379       0     225     233     294
Max      736     535       0     343     351     442
P<    1.0000  0.9567  0.0000  1.0000  1.0000  1.0000
P>    0.0000  0.0433  1.0000  0.0000  0.0000  0.0000

PP       254     152       0       0     223     139
Min      386     256       0       0     151     198
Max      537     384       0       0     254     316
P<    0.0000  0.0000  0.0000  0.0000  0.9142  0.0000
P>    1.0000  1.0000  1.0000  1.0000  0.0858  1.0000

ST       411     172       0     134       0     169
Min      255     172       0      95       0     130
Max      374     280       0     184       0     227
P<    1.0000  0.0000  0.0000  0.3767  0.0000  0.2635
P>    0.0000  1.0000  1.0000  0.6233  1.0000  0.7365

TL       506     202       0     163     292       0
Min      330     226       0     128     133       0
Max      476     346       0     233     233       0
P<    1.0000  0.0000  0.0000  0.1212  1.0000  0.0000
P>    0.0000  1.0000  1.0000  0.8788  0.0000  1.0000


Region 15
          AR      CH      CU      PP      ST      TL
