Region,Beg,End,Count
  271,   4625111,   4625165, 1.000
  272,   4631148,   4631152, 1.000
  273,   4635983,   4635987, 1.000
  274,   4636073,   4636143, 1.000
  275,   4639337,   4639354, 1.000
  276,   4639434,   4639730, 1.000
  277,   4640469,   4640493, 1.000
  278,   4642139,   4642433, 1.427
  279,   4642900,   4647532, 1.376
  280,   4648395,   4651038, 1.000
  281,   4651309,   4651314, 1.000
  282,   4651439,   4651449, 1.000
  283,   4651770,   4651801, 1.000
  284,   4652993,   4653311, 1.016
  285,   4657200,   4657208, 1.000
  286,   4659296,   4665153, 1.007
  287,   4665707,   4666103, 1.010
  288,   4668450,   4675210, 1.043
  289,   4675392,   4675651, 1.000
  290,   4675916,   4675918, 1.000
  291,   4676104,   4676184, 1.000
  292,   4678864,   4681983, 1.000
  293,   4684726,   4686399, 1.430
  294,   4688126,   4688454, 1.000
  295,   4690613,   4692117, 1.746
  296,   4693714,   4695498, 1.752
  297,   4701804,   4701819, 1.000
  298,   4702924,   4705192, 1.000
  299,   4705422,   4705438, 1.000
  300,   4706887,   4706892, 1.000
  301,   4711865,   4711868, 1.000
  302,   4712402,   4712403, 1.000
  303,   4713376,   4715665, 1.336
  304,   4718202,   4718205, 1.000
  305,   4718573,   4721470, 1.258
  306,   4722706,   4722859, 1.000
  307,   4724959,   4724964, 1.000
  308,   4727055,   4727787, 1.000
  309,   4729818,   4733645, 1.299
  310,   4733895,   4734229, 1.197
  311,   4734714,   4734793, 1.000
  312,   4735149,   4737449, 1.293
  313,   4737464,   4737475, 1.000
  314,   4738477,   4738493, 1.000
  315,   4738531,   4738533, 1.000
  316,   4740568,   4740916, 1.000
  317,   4741630,   4745805, 1.000
  318,   4746825,   4746827, 1.000
  319,   4758202,   4760044, 1.000
  320,   4766330,   4766595, 1.000
  321,   4769269,   4789400, 1.247
  322,   4789913,   4815392, 1.206
  323,   4822236,   4824746, 1.312
  324,   4825761,   4825765, 1.000
  325,   4827217,   4838647, 1.741
  326,   4839612,   4840199, 1.087
  327,   4843992,   4844049, 1.000
  328,   4845544,   4845662, 1.462
  329,   4845667,   4845686, 1.000
  330,   4847998,   4849203, 1.000
  331,   4849370,   4849374, 1.000
  332,   4853462,   4853851, 1.000
  333,   4856828,   4864816, 1.110
  334,   4866330,   4866343, 1.000
  335,   4871369,   4872659, 1.009
  336,   4872905,   4872916, 1.000
  337,   4873577,   4875750, 1.148
  338,   4875969,   4875974, 1.000
  339,   4879170,   4882794, 1.000
  340,   4884534,   4884592, 1.000
  341,   4886916,   4887004, 1.000
  342,   4888413,   4895531, 1.822
  343,   4896495,   4896497, 1.000
  344,   4897993,   4898054, 1.000
  345,   4900685,   4900797, 1.000
  346,   4901077,   4901180, 1.000
  347,   4901325,   4901458, 1.090
  348,   4901922,   4902307, 1.000
  349,   4905670,   4906401, 1.000
  350,   4910053,   4910763, 1.188
  351,   4910834,   4910854, 1.000
  352,   4912523,   4912542, 1.000
  353,   4913703,   4913706, 1.000
  354,   4914334,   4916326, 1.006
  355,   4919213,   4930890, 1.947
  356,   4934733,   4935017, 1.000
  357,   4935458,   4935761, 1.079
  358,   4936126,   4936132, 1.000
  359,   4937381,   4938095, 1.000
  360,   4939841,   4939844, 1.000
  361,   4940251,   4940578, 1.000
  362,   4941935,   4970289, 2.092
  363,   4972578,   4978572, 1.171
  364,   4982756,   4997000, 1.976
  365,   4998162,   4998669, 1.000
  366,   4999896,   4999923, 1.000
  367,   5002153,   5002163, 1.000
  368,   5002185,   5011708, 1.817
  369,   5012183,   5017519, 1.901
  370,   5017900,   5018524, 1.000
  371,   5019773,   5019884, 1.000
  372,   5020623,   5020637, 1.000
  373,   5020644,   5020801, 1.000
  374,   5021572,   5021758, 1.037
  375,   5021933,   5022422, 1.316
  376,   5031287,   5031334, 1.000
  377,   5031363,   5031476, 1.000
  378,   5032372,   5048364, 2.040
  379,   5050212,   5060922, 1.484
  380,   5061309,   5062027, 1.000
  381,   5062769,   5062892, 1.000
  382,   5063198,   5063425, 1.000
  383,   5064721,   5064722, 1.000
  384,   5065226,   5065270, 1.000
  385,   5065854,   5065857, 1.000
  386,   5066119,   5066144, 1.000
  387,   5066314,   5066316, 1.000
  388,   5067798,   5067799, 1.000
  389,   5067826,   5243334, 2.438
  390,   5244072,   5244077, 1.000
  391,   5247287,   5247298, 1.000
  392,   5247485,   5247513, 1.000
  393,   5248758,   5249588, 1.084
  394,   5250125,   5258755, 1.390
  395,   5258932,   5258933, 1.000
  396,   5259263,   5259750, 1.000
  397,   5259927,   5259932, 1.000
  398,   5260606,   5260608, 1.000
  399,   5262090,   5262420, 1.100
  400,   5262524,   5262525, 1.000
  401,   5263463,   5264643, 1.131
  402,   5265904,   5271776, 1.969
  403,   5272072,   5272371, 1.000
  404,   5272443,   5272914, 1.021
  405,   5276206,   5283889, 1.909
  406,   5283924,   5283930, 1.000
  407,   5286994,   5287229, 1.000
  408,   5288172,   5299220, 1.124
  409,   5299778,   5299780, 1.000
  410,   5300607,   5301063, 1.000
  411,   5301067,   5341365, 1.942
  412,   5341936,   5375052, 1.964
  413,   5379130,   5431615, 2.798
  414,   5432161,   5432193, 1.000
  415,   5433428,   5433438, 1.000
  416,   5433881,   5433893, 1.000
  417,   5434269,   5434270, 1.000
  418,   5436172,   5446743, 1.611
  419,   5446834,   5452343, 2.965
  420,   5452675,   5453821, 1.003
  421,   5455345,   5455995, 1.049
  422,   5456298,   5456307, 1.000
  423,   5458535,   5460862, 1.290
  424,   5461453,   5461469, 1.000
  425,   5463792,   5463797, 1.000
  426,   5467076,   5497088, 1.988
  427,   5503391,   5544792, 1.534
  428,   5546264,   5566860, 1.691
  429,   5567727,   5581387, 2.068
  430,   5582952,   5624137, 3.509
